"id","ownerid","ageclassid","sexid","kreisid","quartierid"
7186,66913,3,1,8,"83"
7187,66913,3,1,8,"83"
14071,66913,3,1,8,"83"
14072,66913,3,1,8,"83"
21172,66913,3,1,8,"83"
21173,66913,3,1,8,"83"
28512,66913,3,1,8,"83"
28513,66913,3,1,8,"83"
21,67001,3,2,3,"34"
279,67001,3,2,3,"34"
14073,67001,3,2,3,"34"
21174,67001,3,2,3,"34"
26997,67001,3,2,3,"34"
36096,67001,3,2,3,"34"
43866,67001,3,2,3,"34"
52365,67001,3,2,3,"34"
280,67018,5,2,6,"61"
7188,67018,5,2,6,"61"
14074,67018,5,2,6,"61"
21175,67018,5,2,6,"61"
28514,67018,5,2,6,"61"
36097,67018,5,2,6,"61"
43867,67018,5,2,6,"61"
52366,67018,5,2,6,"61"
281,67054,3,1,9,"91"
7189,67054,3,1,9,"91"
282,67125,3,1,7,"74"
7190,67125,3,1,7,"74"
14075,67125,3,1,7,"74"
21176,67125,3,1,7,"74"
28515,67125,3,1,7,"74"
36098,67125,3,1,7,"74"
43868,67125,3,1,7,"74"
52367,67125,3,1,7,"74"
283,67135,2,1,6,"61"
7191,67135,2,1,6,"61"
14076,67135,2,1,6,"61"
21177,67135,2,1,6,"61"
21178,67135,2,1,6,"61"
28516,67135,2,1,6,"61"
28517,67135,2,1,6,"61"
36099,67135,2,1,6,"61"
36100,67135,2,1,6,"61"
43869,67135,2,1,6,"61"
52368,67135,2,1,6,"61"
284,67180,3,2,1,"11"
7192,67180,3,2,1,"11"
14077,67180,3,2,1,"11"
21179,67180,3,2,1,"11"
28518,67180,3,2,1,"11"
285,67220,10,1,2,"21"
7193,67220,10,1,2,"21"
14078,67220,10,1,2,"21"
21180,67220,10,1,2,"21"
28519,67220,10,1,2,"21"
36101,67220,10,1,2,"21"
286,67308,6,2,11,"111"
7194,67308,6,2,11,"111"
14080,67308,6,2,11,"111"
21182,67308,6,2,11,"111"
28520,67308,6,2,11,"111"
36103,67308,6,2,11,"111"
43871,67308,6,2,11,"111"
52370,67308,6,2,11,"111"
287,70076,2,1,9,"92"
7195,70076,2,1,9,"92"
14081,70076,2,1,9,"92"
21183,70076,2,1,9,"92"
28522,70076,2,1,9,"92"
36105,70076,2,1,9,"92"
288,70176,6,2,10,"101"
7196,70176,6,2,10,"101"
14083,70176,6,2,10,"101"
21185,70176,6,2,10,"101"
28524,70176,6,2,10,"101"
36108,70176,6,2,10,"101"
43874,70176,6,2,10,"101"
52373,70176,6,2,10,"101"
289,70287,3,1,2,"24"
7197,70287,3,1,2,"24"
14084,70287,3,1,2,"24"
28525,70287,3,1,2,"24"
290,70296,3,2,7,"74"
291,70296,3,2,7,"74"
7198,70296,3,2,7,"74"
7199,70296,3,2,7,"74"
14085,70296,3,2,7,"74"
14086,70296,3,2,7,"74"
21186,70296,3,2,7,"74"
21187,70296,3,2,7,"74"
28526,70296,3,2,7,"74"
28527,70296,3,2,7,"74"
36109,70296,3,2,7,"74"
36110,70296,3,2,7,"74"
43875,70296,3,2,7,"74"
43876,70296,3,2,7,"74"
52374,70296,3,2,7,"74"
52375,70296,3,2,7,"74"
292,70577,3,2,3,"34"
7200,70577,3,2,3,"34"
14087,70577,3,2,3,"34"
21188,70577,3,2,3,"34"
28528,70577,3,2,3,"34"
36111,70577,3,2,3,"34"
43877,70577,3,2,3,"34"
52376,70577,3,2,3,"34"
293,70788,2,1,7,"71"
7201,70788,2,1,7,"71"
14088,70788,2,1,7,"71"
